model,n_parameters,log_likelihood,AIC,BIC,concordance_index,status
Log-Normal AFT,20.0,-1457.0120051258564,2954.0240102517128,3052.1791158313554,0.7872163376621982,fit
Log-Logistic AFT,20.0,-1458.1042807216668,2956.2085614433336,3054.363667022976,0.7872217062420478,fit
Weibull AFT,20.0,-1462.17162404194,2964.34324808388,3062.4983536635227,0.7838180266174188,fit
Generalized Gamma Regression,,,,,,failed to converge
